epoch,accuracy,loss,val_accuracy,val_loss
0,0.9781345129013062,0.059711162000894547,0.6541786789894104,1.6956017017364502
1,0.9784113168716431,0.060557618737220764,0.6541786789894104,1.6567991971969604
2,0.9781345129013062,0.05499836802482605,0.680115282535553,1.6341413259506226
3,0.9792416095733643,0.05641329661011696,0.6599423885345459,1.6718717813491821
4,0.9806255102157593,0.05292024090886116,0.6484149694442749,1.7341163158416748
5,0.9781345129013062,0.05192912369966507,0.6484149694442749,1.706761121749878
6,0.9803487658500671,0.049371540546417236,0.6570605039596558,1.748488426208496
7,0.9797951579093933,0.05202493071556091,0.6484149694442749,1.7430431842803955
8,0.9775809645652771,0.0524301715195179,0.6570605039596558,1.7233675718307495
9,0.9775809645652771,0.04820798709988594,0.651296854019165,1.7999268770217896
10,0.9800719618797302,0.04676530882716179,0.6628242135047913,1.7679373025894165
11,0.9789648652076721,0.0440233014523983,0.6570605039596558,1.859460711479187
12,0.9781345129013062,0.04399271309375763,0.6599423885345459,1.8458315134048462
13,0.9795184135437012,0.04177003726363182,0.6426513195037842,1.8940119743347168
14,0.9786880612373352,0.04315171763300896,0.651296854019165,1.892297625541687
15,0.9795184135437012,0.04137713089585304,0.6657060384750366,1.9163715839385986
16,0.9784113168716431,0.04160459712147713,0.6484149694442749,1.9044196605682373
17,0.9792416095733643,0.04058416560292244,0.6628242135047913,1.9318736791610718
18,0.977027416229248,0.041199054569005966,0.6541786789894104,1.990671992301941
19,0.9792416095733643,0.03715863451361656,0.6570605039596558,1.9131132364273071
20,0.9786880612373352,0.03780099004507065,0.6599423885345459,1.964918851852417
21,0.9803487658500671,0.03833538293838501,0.6657060384750366,1.9353379011154175
22,0.9789648652076721,0.036609236150979996,0.6541786789894104,1.9393117427825928
23,0.9784113168716431,0.038548268377780914,0.6685879230499268,1.944809913635254
24,0.9792416095733643,0.03722192347049713,0.6685879230499268,1.960592269897461
